Sub-Cluster,Code,Occupation
Purchasing & Warehousing,53-7199.00,"Material Moving Workers, All Other"
Purchasing & Warehousing,51-9111.00,Packaging and Filling Machine Operators and Tenders
Purchasing & Warehousing,53-7064.00,"Packers and Packagers, Hand"
Purchasing & Warehousing,43-3061.00,Procurement Clerks
Purchasing & Warehousing,43-5061.00,"Production, Planning, and Expediting Clerks"
Purchasing & Warehousing,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products"
Purchasing & Warehousing,11-3061.00,Purchasing Managers
Purchasing & Warehousing,43-5071.00,"Shipping, Receiving, and Inventory Clerks"
Purchasing & Warehousing,53-7065.00,Stockers and Order Fillers
Purchasing & Warehousing,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products"
