Sub-Cluster,Code,Occupation
Skilled Trades,49-2098.00,Security and Fire Alarm Systems Installers
Skilled Trades,47-4091.00,Segmental Pavers
Skilled Trades,47-2211.00,Sheet Metal Workers
Skilled Trades,47-2231.00,Solar Photovoltaic Installers
Skilled Trades,47-2152.04,Solar Thermal Installers and Technicians
Skilled Trades,47-2022.00,Stonemasons
Skilled Trades,47-2221.00,Structural Iron and Steel Workers
Skilled Trades,47-2082.00,Tapers
Skilled Trades,47-2053.00,Terrazzo Workers and Finishers
Skilled Trades,47-2044.00,Tile and Stone Setters
Skilled Trades,51-4111.00,Tool and Die Makers
Skilled Trades,47-4099.03,Weatherization Installers and Technicians
Skilled Trades,51-4121.00,"Welders, Cutters, Solderers, and Brazers"
Skilled Trades,51-4122.00,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders"
Skilled Trades,51-7099.00,"Woodworkers, All Other"
