Sub-Cluster,Code,Occupation
Production & Automation,51-9021.00,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders"
Production & Automation,51-9031.00,"Cutters and Trimmers, Hand"
Production & Automation,51-9032.00,"Cutting and Slicing Machine Setters, Operators, and Tenders"
Production & Automation,51-9194.00,Etchers and Engravers
Production & Automation,51-6091.00,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers"
Production & Automation,51-9041.00,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders"
Production & Automation,51-6092.00,Fabric and Apparel Patternmakers
Production & Automation,51-2051.00,Fiberglass Laminators and Fabricators
Production & Automation,51-1011.00,First-Line Supervisors of Production and Operating Workers
Production & Automation,51-3091.00,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders"
Production & Automation,51-3092.00,Food Batchmakers
Production & Automation,51-3093.00,Food Cooking Machine Operators and Tenders
Production & Automation,51-3099.00,"Food Processing Workers, All Other"
Production & Automation,19-1032.00,Foresters
Production & Automation,51-4071.00,Foundry Mold and Coremakers
Production & Automation,51-9051.00,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders"
Production & Automation,51-7021.00,Furniture Finishers
Production & Automation,51-9071.06,Gem and Diamond Workers
Production & Automation,11-3051.02,Geothermal Production Managers
Production & Automation,51-9195.04,"Glass Blowers, Molders, Benders, and Finishers"
Production & Automation,51-9022.00,"Grinding and Polishing Workers, Hand"
Production & Automation,51-4191.00,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic"
Production & Automation,51-9198.00,Helpers--Production Workers
Production & Automation,11-3051.06,Hydroelectric Production Managers
Production & Automation,11-3051.00,Industrial Production Managers
Production & Automation,51-6011.00,Laundry and Dry-Cleaning Workers
Production & Automation,51-4192.00,"Layout Workers, Metal and Plastic"
Production & Automation,49-9095.00,Manufactured Building and Mobile Home Installers
Production & Automation,17-2131.00,Materials Engineers
Production & Automation,51-4199.00,"Metal Workers and Plastic Workers, All Other"
Production & Automation,51-4051.00,Metal-Refining Furnace Operators and Tenders
Production & Automation,51-9023.00,"Mixing and Blending Machine Setters, Operators, and Tenders"
Production & Automation,51-4061.00,"Model Makers, Metal and Plastic"
Production & Automation,51-7031.00,"Model Makers, Wood"
Production & Automation,51-9195.00,"Molders, Shapers, and Casters, Except Metal and Plastic"
Production & Automation,51-4072.00,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic"
Production & Automation,51-4081.00,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
Production & Automation,51-9196.00,"Paper Goods Machine Setters, Operators, and Tenders"
Production & Automation,51-4062.00,"Patternmakers, Metal and Plastic"
Production & Automation,51-7032.00,"Patternmakers, Wood"
Production & Automation,51-4193.00,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic"
Production & Automation,51-9195.05,"Potters, Manufacturing"
Production & Automation,51-4052.00,"Pourers and Casters, Metal"
Production & Automation,51-5111.00,Prepress Technicians and Workers
Production & Automation,51-6021.00,"Pressers, Textile, Garment, and Related Materials"
Production & Automation,51-5113.00,Print Binding and Finishing Workers
Production & Automation,51-5112.00,Printing Press Operators
Production & Automation,51-9199.00,"Production Workers, All Other"
Production & Automation,51-7041.00,"Sawing Machine Setters, Operators, and Tenders, Wood"
Production & Automation,51-9141.00,Semiconductor Processing Technicians
Production & Automation,51-9012.00,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders"
Production & Automation,51-6031.00,Sewing Machine Operators
Production & Automation,51-6041.00,Shoe and Leather Workers and Repairers
Production & Automation,51-6042.00,Shoe Machine Operators and Tenders
Production & Automation,51-9195.03,"Stone Cutters and Carvers, Manufacturing"
Production & Automation,51-2092.00,Team Assemblers
Production & Automation,51-6061.00,Textile Bleaching and Dyeing Machine Operators and Tenders
Production & Automation,51-6062.00,"Textile Cutting Machine Setters, Operators, and Tenders"
Production & Automation,51-6063.00,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders"
Production & Automation,51-6064.00,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders"
Production & Automation,51-6099.00,"Textile, Apparel, and Furnishings Workers, All Other"
Production & Automation,51-9197.00,Tire Builders
Production & Automation,51-4194.00,"Tool Grinders, Filers, and Sharpeners"
Production & Automation,51-6093.00,Upholsterers
Production & Automation,51-4121.00,"Welders, Cutters, Solderers, and Brazers"
Production & Automation,51-7099.00,"Woodworkers, All Other"
Production & Automation,51-7042.00,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing"
Production & Automation; Safety & Quality Assurance,17-3028.00,Calibration Technologists and Technicians
Production & Automation; Safety & Quality Assurance,51-9061.00,"Inspectors, Testers, Sorters, Samplers, and Weighers"
Production & Automation; Safety & Quality Assurance,19-4099.01,Quality Control Analysts
Production & Automation; Safety & Quality Assurance,11-3051.01,Quality Control Systems Managers
Robotics,49-2095.00,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay"
Safety & Quality Assurance,17-3025.00,Environmental Engineering Technologists and Technicians
Safety & Quality Assurance,19-2041.00,"Environmental Scientists and Specialists, Including Health"
Safety & Quality Assurance,47-4041.00,Hazardous Materials Removal Workers
Safety & Quality Assurance,19-5011.00,Occupational Health and Safety Specialists
Safety & Quality Assurance,19-5012.00,Occupational Health and Safety Technicians
Safety & Quality Assurance,43-5111.00,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping"
